Quarter,Region,State,Purpose,Trips
2006 Q4,Barossa,South Australia,Business,7
2007 Q1,Barossa,South Australia,Business,6
2007 Q2,Barossa,South Australia,Business,5
2007 Q3,Barossa,South Australia,Business,0
2007 Q4,Barossa,South Australia,Business,5
2008 Q1,Barossa,South Australia,Business,5
2008 Q2,Barossa,South Australia,Business,9
2008 Q3,Barossa,South Australia,Business,8
2008 Q4,Barossa,South Australia,Business,2
2009 Q1,Barossa,South Australia,Business,1
2009 Q2,Barossa,South Australia,Business,2
2009 Q3,Barossa,South Australia,Business,6
2009 Q4,Barossa,South Australia,Business,14
2010 Q1,Barossa,South Australia,Business,1
2010 Q2,Barossa,South Australia,Business,2
2010 Q3,Barossa,South Australia,Business,14
2010 Q4,Barossa,South Australia,Business,13
2011 Q1,Barossa,South Australia,Business,1
2011 Q2,Barossa,South Australia,Business,2
2011 Q3,Barossa,South Australia,Business,5
2011 Q4,Barossa,South Australia,Business,7
2012 Q1,Barossa,South Australia,Business,10
2012 Q2,Barossa,South Australia,Business,13
2012 Q3,Barossa,South Australia,Business,3
2012 Q4,Barossa,South Australia,Business,3
2013 Q1,Barossa,South Australia,Business,6
2013 Q2,Barossa,South Australia,Business,10
2013 Q3,Barossa,South Australia,Business,1
2013 Q4,Barossa,South Australia,Business,13
2014 Q1,Barossa,South Australia,Business,9
2014 Q2,Barossa,South Australia,Business,3
2014 Q3,Barossa,South Australia,Business,22
2014 Q4,Barossa,South Australia,Business,8
2015 Q1,Barossa,South Australia,Business,3
2015 Q2,Barossa,South Australia,Business,7
2015 Q3,Barossa,South Australia,Business,5
2015 Q4,Barossa,South Australia,Business,5
2016 Q1,Barossa,South Australia,Business,4
2016 Q2,Barossa,South Australia,Business,10
2016 Q3,Barossa,South Australia,Business,3
2016 Q4,Barossa,South Australia,Business,9
2017 Q1,Barossa,South Australia,Business,0
2017 Q2,Barossa,South Australia,Business,9
2017 Q3,Barossa,South Australia,Business,0
2017 Q4,Barossa,South Australia,Business,1
1998 Q1,Barossa,South Australia,Holiday,36
1998 Q2,Barossa,South Australia,Holiday,32
1998 Q3,Barossa,South Australia,Holiday,18
1998 Q4,Barossa,South Australia,Holiday,40
1999 Q1,Barossa,South Australia,Holiday,16
1999 Q2,Barossa,South Australia,Holiday,34
1999 Q3,Barossa,South Australia,Holiday,12
1999 Q4,Barossa,South Australia,Holiday,20
2000 Q1,Barossa,South Australia,Holiday,25
2000 Q2,Barossa,South Australia,Holiday,14
2000 Q3,Barossa,South Australia,Holiday,42
2000 Q4,Barossa,South Australia,Holiday,23
2001 Q1,Barossa,South Australia,Holiday,22
2001 Q2,Barossa,South Australia,Holiday,47
2001 Q3,Barossa,South Australia,Holiday,28
2001 Q4,Barossa,South Australia,Holiday,38
2002 Q1,Barossa,South Australia,Holiday,16
2002 Q2,Barossa,South Australia,Holiday,27
2002 Q3,Barossa,South Australia,Holiday,23
2002 Q4,Barossa,South Australia,Holiday,32
2003 Q1,Barossa,South Australia,Holiday,20
2003 Q2,Barossa,South Australia,Holiday,28
2003 Q3,Barossa,South Australia,Holiday,20
2003 Q4,Barossa,South Australia,Holiday,24
2004 Q1,Barossa,South Australia,Holiday,35
2004 Q2,Barossa,South Australia,Holiday,29
2004 Q3,Barossa,South Australia,Holiday,21
2004 Q4,Barossa,South Australia,Holiday,37
2005 Q1,Barossa,South Australia,Holiday,16
2005 Q2,Barossa,South Australia,Holiday,23
2005 Q3,Barossa,South Australia,Holiday,35
2005 Q4,Barossa,South Australia,Holiday,21
2006 Q1,Barossa,South Australia,Holiday,51
2006 Q2,Barossa,South Australia,Holiday,25
2006 Q3,Barossa,South Australia,Holiday,9
2006 Q4,Barossa,South Australia,Holiday,29
2007 Q1,Barossa,South Australia,Holiday,33
2007 Q2,Barossa,South Australia,Holiday,37
2007 Q3,Barossa,South Australia,Holiday,25
2007 Q4,Barossa,South Australia,Holiday,32
2008 Q1,Barossa,South Australia,Holiday,11
2008 Q2,Barossa,South Australia,Holiday,23
2008 Q3,Barossa,South Australia,Holiday,28
2008 Q4,Barossa,South Australia,Holiday,17
2009 Q1,Barossa,South Australia,Holiday,23
2009 Q2,Barossa,South Australia,Holiday,25
2009 Q3,Barossa,South Australia,Holiday,32
2009 Q4,Barossa,South Australia,Holiday,26
2010 Q1,Barossa,South Australia,Holiday,23
2010 Q2,Barossa,South Australia,Holiday,28
2010 Q3,Barossa,South Australia,Holiday,14
2010 Q4,Barossa,South Australia,Holiday,31
2011 Q1,Barossa,South Australia,Holiday,25
2011 Q2,Barossa,South Australia,Holiday,41
2011 Q3,Barossa,South Australia,Holiday,15
2011 Q4,Barossa,South Australia,Holiday,9
2012 Q1,Barossa,South Australia,Holiday,17
2012 Q2,Barossa,South Australia,Holiday,26
2012 Q3,Barossa,South Australia,Holiday,10
2012 Q4,Barossa,South Australia,Holiday,30
2013 Q1,Barossa,South Australia,Holiday,17
2013 Q2,Barossa,South Australia,Holiday,42
2013 Q3,Barossa,South Australia,Holiday,20
2013 Q4,Barossa,South Australia,Holiday,35
2014 Q1,Barossa,South Australia,Holiday,24
2014 Q2,Barossa,South Australia,Holiday,13
2014 Q3,Barossa,South Australia,Holiday,20
2014 Q4,Barossa,South Australia,Holiday,30
2015 Q1,Barossa,South Australia,Holiday,19
2015 Q2,Barossa,South Australia,Holiday,29
2015 Q3,Barossa,South Australia,Holiday,22
2015 Q4,Barossa,South Australia,Holiday,19
2016 Q1,Barossa,South Australia,Holiday,26
2016 Q2,Barossa,South Australia,Holiday,19
2016 Q3,Barossa,South Australia,Holiday,25
2016 Q4,Barossa,South Australia,Holiday,21
2017 Q1,Barossa,South Australia,Holiday,17
2017 Q2,Barossa,South Australia,Holiday,47
2017 Q3,Barossa,South Australia,Holiday,28
2017 Q4,Barossa,South Australia,Holiday,30
1998 Q1,Barossa,South Australia,Other,1
1998 Q2,Barossa,South Australia,Other,0
1998 Q3,Barossa,South Australia,Other,0
1998 Q4,Barossa,South Australia,Other,2
1999 Q1,Barossa,South Australia,Other,0
1999 Q2,Barossa,South Australia,Other,2
1999 Q3,Barossa,South Australia,Other,0
1999 Q4,Barossa,South Australia,Other,1
2000 Q1,Barossa,South Australia,Other,4
2000 Q2,Barossa,South Australia,Other,2
2000 Q3,Barossa,South Australia,Other,0
2000 Q4,Barossa,South Australia,Other,0
2001 Q1,Barossa,South Australia,Other,7
2001 Q2,Barossa,South Australia,Other,0
2001 Q3,Barossa,South Australia,Other,2
2001 Q4,Barossa,South Australia,Other,0
2002 Q1,Barossa,South Australia,Other,10
2002 Q2,Barossa,South Australia,Other,0
2002 Q3,Barossa,South Australia,Other,0
2002 Q4,Barossa,South Australia,Other,0
2003 Q1,Barossa,South Australia,Other,0
2003 Q2,Barossa,South Australia,Other,0
2003 Q3,Barossa,South Australia,Other,0
2003 Q4,Barossa,South Australia,Other,1
2004 Q1,Barossa,South Australia,Other,0
2004 Q2,Barossa,South Australia,Other,0
2004 Q3,Barossa,South Australia,Other,0
2004 Q4,Barossa,South Australia,Other,0
2005 Q1,Barossa,South Australia,Other,0
2005 Q2,Barossa,South Australia,Other,1
2005 Q3,Barossa,South Australia,Other,1
2005 Q4,Barossa,South Australia,Other,1
2006 Q1,Barossa,South Australia,Other,2
2006 Q2,Barossa,South Australia,Other,0
2006 Q3,Barossa,South Australia,Other,0
2006 Q4,Barossa,South Australia,Other,2
2007 Q1,Barossa,South Australia,Other,0
2007 Q2,Barossa,South Australia,Other,1
2007 Q3,Barossa,South Australia,Other,0
2007 Q4,Barossa,South Australia,Other,5
2008 Q1,Barossa,South Australia,Other,0
2008 Q2,Barossa,South Australia,Other,0
2008 Q3,Barossa,South Australia,Other,1
2008 Q4,Barossa,South Australia,Other,0
2009 Q1,Barossa,South Australia,Other,0
2009 Q2,Barossa,South Australia,Other,2
2009 Q3,Barossa,South Australia,Other,1
2009 Q4,Barossa,South Australia,Other,0
2010 Q1,Barossa,South Australia,Other,2
2010 Q2,Barossa,South Australia,Other,0
2010 Q3,Barossa,South Australia,Other,5
2010 Q4,Barossa,South Australia,Other,0
2011 Q1,Barossa,South Australia,Other,0
2011 Q2,Barossa,South Australia,Other,1
2011 Q3,Barossa,South Australia,Other,0
2011 Q4,Barossa,South Australia,Other,0
2012 Q1,Barossa,South Australia,Other,1
2012 Q2,Barossa,South Australia,Other,1
2012 Q3,Barossa,South Australia,Other,0
2012 Q4,Barossa,South Australia,Other,0
2013 Q1,Barossa,South Australia,Other,0
2013 Q2,Barossa,South Australia,Other,2
2013 Q3,Barossa,South Australia,Other,3
2013 Q4,Barossa,South Australia,Other,2
2014 Q1,Barossa,South Australia,Other,0
2014 Q2,Barossa,South Australia,Other,0
2014 Q3,Barossa,South Australia,Other,0
2014 Q4,Barossa,South Australia,Other,0
2015 Q1,Barossa,South Australia,Other,0
2015 Q2,Barossa,South Australia,Other,3
2015 Q3,Barossa,South Australia,Other,0
2015 Q4,Barossa,South Australia,Other,4
2016 Q1,Barossa,South Australia,Other,1
2016 Q2,Barossa,South Australia,Other,2
2016 Q3,Barossa,South Australia,Other,0
2016 Q4,Barossa,South Australia,Other,3
2017 Q1,Barossa,South Australia,Other,4
2017 Q2,Barossa,South Australia,Other,1
2017 Q3,Barossa,South Australia,Other,0
2017 Q4,Barossa,South Australia,Other,0
1998 Q1,Barossa,South Australia,Visiting,9
1998 Q2,Barossa,South Australia,Visiting,15
1998 Q3,Barossa,South Australia,Visiting,9
1998 Q4,Barossa,South Australia,Visiting,30
1999 Q1,Barossa,South Australia,Visiting,18
1999 Q2,Barossa,South Australia,Visiting,11
1999 Q3,Barossa,South Australia,Visiting,19
1999 Q4,Barossa,South Australia,Visiting,28
2000 Q1,Barossa,South Australia,Visiting,24
2000 Q2,Barossa,South Australia,Visiting,13
2000 Q3,Barossa,South Australia,Visiting,21
2000 Q4,Barossa,South Australia,Visiting,22
2001 Q1,Barossa,South Australia,Visiting,10
2001 Q2,Barossa,South Australia,Visiting,16
2001 Q3,Barossa,South Australia,Visiting,17
2001 Q4,Barossa,South Australia,Visiting,22
2002 Q1,Barossa,South Australia,Visiting,8
2002 Q2,Barossa,South Australia,Visiting,9
2002 Q3,Barossa,South Australia,Visiting,14
2002 Q4,Barossa,South Australia,Visiting,35
2003 Q1,Barossa,South Australia,Visiting,15
2003 Q2,Barossa,South Australia,Visiting,17
2003 Q3,Barossa,South Australia,Visiting,16
2003 Q4,Barossa,South Australia,Visiting,19
2004 Q1,Barossa,South Australia,Visiting,24
2004 Q2,Barossa,South Australia,Visiting,10
2004 Q3,Barossa,South Australia,Visiting,24
2004 Q4,Barossa,South Australia,Visiting,12
2005 Q1,Barossa,South Australia,Visiting,7
2005 Q2,Barossa,South Australia,Visiting,9
2005 Q3,Barossa,South Australia,Visiting,19
2005 Q4,Barossa,South Australia,Visiting,16
2006 Q1,Barossa,South Australia,Visiting,13
2006 Q2,Barossa,South Australia,Visiting,8
2006 Q3,Barossa,South Australia,Visiting,15
2006 Q4,Barossa,South Australia,Visiting,13
2007 Q1,Barossa,South Australia,Visiting,14
2007 Q2,Barossa,South Australia,Visiting,15
2007 Q3,Barossa,South Australia,Visiting,5
2007 Q4,Barossa,South Australia,Visiting,16
2008 Q1,Barossa,South Australia,Visiting,13
2008 Q2,Barossa,South Australia,Visiting,8
2008 Q3,Barossa,South Australia,Visiting,12
2008 Q4,Barossa,South Australia,Visiting,13
2009 Q1,Barossa,South Australia,Visiting,20
2009 Q2,Barossa,South Australia,Visiting,6
2009 Q3,Barossa,South Australia,Visiting,19
2009 Q4,Barossa,South Australia,Visiting,11
2010 Q1,Barossa,South Australia,Visiting,6
2010 Q2,Barossa,South Australia,Visiting,9
2010 Q3,Barossa,South Australia,Visiting,8
2010 Q4,Barossa,South Australia,Visiting,10
2011 Q1,Barossa,South Australia,Visiting,7
2011 Q2,Barossa,South Australia,Visiting,12
2011 Q3,Barossa,South Australia,Visiting,11
2011 Q4,Barossa,South Australia,Visiting,29
2012 Q1,Barossa,South Australia,Visiting,20
2012 Q2,Barossa,South Australia,Visiting,12
2012 Q3,Barossa,South Australia,Visiting,13
2012 Q4,Barossa,South Australia,Visiting,29
2013 Q1,Barossa,South Australia,Visiting,12
2013 Q2,Barossa,South Australia,Visiting,16
2013 Q3,Barossa,South Australia,Visiting,13
2013 Q4,Barossa,South Australia,Visiting,19
2014 Q1,Barossa,South Australia,Visiting,10
2014 Q2,Barossa,South Australia,Visiting,20
2014 Q3,Barossa,South Australia,Visiting,9
2014 Q4,Barossa,South Australia,Visiting,23
2015 Q1,Barossa,South Australia,Visiting,29
2015 Q2,Barossa,South Australia,Visiting,13
2015 Q3,Barossa,South Australia,Visiting,6
2015 Q4,Barossa,South Australia,Visiting,18
2016 Q1,Barossa,South Australia,Visiting,20
2016 Q2,Barossa,South Australia,Visiting,6
2016 Q3,Barossa,South Australia,Visiting,20
2016 Q4,Barossa,South Australia,Visiting,23
2017 Q1,Barossa,South Australia,Visiting,20
2017 Q2,Barossa,South Australia,Visiting,17
2017 Q3,Barossa,South Australia,Visiting,11
2017 Q4,Barossa,South Australia,Visiting,18
1998 Q1,Bendigo Loddon,Victoria,Business,17
1998 Q2,Bendigo Loddon,Victoria,Business,13
1998 Q3,Bendigo Loddon,Victoria,Business,25
1998 Q4,Bendigo Loddon,Victoria,Business,9
1999 Q1,Bendigo Loddon,Victoria,Business,13
1999 Q2,Bendigo Loddon,Victoria,Business,28
1999 Q3,Bendigo Loddon,Victoria,Business,10
1999 Q4,Bendigo Loddon,Victoria,Business,35
2000 Q1,Bendigo Loddon,Victoria,Business,36
2000 Q2,Bendigo Loddon,Victoria,Business,44
2000 Q3,Bendigo Loddon,Victoria,Business,36
2000 Q4,Bendigo Loddon,Victoria,Business,28
2001 Q1,Bendigo Loddon,Victoria,Business,18
2001 Q2,Bendigo Loddon,Victoria,Business,15
2001 Q3,Bendigo Loddon,Victoria,Business,11
2001 Q4,Bendigo Loddon,Victoria,Business,44
2002 Q1,Bendigo Loddon,Victoria,Business,35
2002 Q2,Bendigo Loddon,Victoria,Business,53
2002 Q3,Bendigo Loddon,Victoria,Business,14
2002 Q4,Bendigo Loddon,Victoria,Business,27
2003 Q1,Bendigo Loddon,Victoria,Business,17
2003 Q2,Bendigo Loddon,Victoria,Business,27
2003 Q3,Bendigo Loddon,Victoria,Business,38
2003 Q4,Bendigo Loddon,Victoria,Business,25
2004 Q1,Bendigo Loddon,Victoria,Business,16
2004 Q2,Bendigo Loddon,Victoria,Business,7
2004 Q3,Bendigo Loddon,Victoria,Business,38
2004 Q4,Bendigo Loddon,Victoria,Business,23
2005 Q1,Bendigo Loddon,Victoria,Business,20
2005 Q2,Bendigo Loddon,Victoria,Business,20
2005 Q3,Bendigo Loddon,Victoria,Business,33
2005 Q4,Bendigo Loddon,Victoria,Business,50
2006 Q1,Bendigo Loddon,Victoria,Business,21
2006 Q2,Bendigo Loddon,Victoria,Business,31
2006 Q3,Bendigo Loddon,Victoria,Business,48
2006 Q4,Bendigo Loddon,Victoria,Business,37
2007 Q1,Bendigo Loddon,Victoria,Business,9
2007 Q2,Bendigo Loddon,Victoria,Business,24
2007 Q3,Bendigo Loddon,Victoria,Business,17
2007 Q4,Bendigo Loddon,Victoria,Business,14
2008 Q1,Bendigo Loddon,Victoria,Business,6
2008 Q2,Bendigo Loddon,Victoria,Business,26
2008 Q3,Bendigo Loddon,Victoria,Business,6
2008 Q4,Bendigo Loddon,Victoria,Business,11
2009 Q1,Bendigo Loddon,Victoria,Business,21
2009 Q2,Bendigo Loddon,Victoria,Business,22
2009 Q3,Bendigo Loddon,Victoria,Business,19
2009 Q4,Bendigo Loddon,Victoria,Business,24
2010 Q1,Bendigo Loddon,Victoria,Business,40
2010 Q2,Bendigo Loddon,Victoria,Business,18
2010 Q3,Bendigo Loddon,Victoria,Business,21
2010 Q4,Bendigo Loddon,Victoria,Business,10
2011 Q1,Bendigo Loddon,Victoria,Business,22
2011 Q2,Bendigo Loddon,Victoria,Business,24
2011 Q3,Bendigo Loddon,Victoria,Business,45
2011 Q4,Bendigo Loddon,Victoria,Business,38
2012 Q1,Bendigo Loddon,Victoria,Business,16
2012 Q2,Bendigo Loddon,Victoria,Business,36
2012 Q3,Bendigo Loddon,Victoria,Business,9
2012 Q4,Bendigo Loddon,Victoria,Business,28
2013 Q1,Bendigo Loddon,Victoria,Business,8
2013 Q2,Bendigo Loddon,Victoria,Business,17
2013 Q3,Bendigo Loddon,Victoria,Business,29
2013 Q4,Bendigo Loddon,Victoria,Business,8
2014 Q1,Bendigo Loddon,Victoria,Business,37
2014 Q2,Bendigo Loddon,Victoria,Business,26
2014 Q3,Bendigo Loddon,Victoria,Business,17
2014 Q4,Bendigo Loddon,Victoria,Business,44
2015 Q1,Bendigo Loddon,Victoria,Business,20
2015 Q2,Bendigo Loddon,Victoria,Business,34
2015 Q3,Bendigo Loddon,Victoria,Business,27
2015 Q4,Bendigo Loddon,Victoria,Business,50
2016 Q1,Bendigo Loddon,Victoria,Business,21
2016 Q2,Bendigo Loddon,Victoria,Business,24
2016 Q3,Bendigo Loddon,Victoria,Business,54
2016 Q4,Bendigo Loddon,Victoria,Business,44
2017 Q1,Bendigo Loddon,Victoria,Business,14
2017 Q2,Bendigo Loddon,Victoria,Business,40
2017 Q3,Bendigo Loddon,Victoria,Business,63
2017 Q4,Bendigo Loddon,Victoria,Business,15
1998 Q1,Bendigo Loddon,Victoria,Holiday,91
1998 Q2,Bendigo Loddon,Victoria,Holiday,75
1998 Q3,Bendigo Loddon,Victoria,Holiday,33
1998 Q4,Bendigo Loddon,Victoria,Holiday,54
1999 Q1,Bendigo Loddon,Victoria,Holiday,71
1999 Q2,Bendigo Loddon,Victoria,Holiday,50
1999 Q3,Bendigo Loddon,Victoria,Holiday,80
1999 Q4,Bendigo Loddon,Victoria,Holiday,70
2000 Q1,Bendigo Loddon,Victoria,Holiday,107
2000 Q2,Bendigo Loddon,Victoria,Holiday,64
2000 Q3,Bendigo Loddon,Victoria,Holiday,49
2000 Q4,Bendigo Loddon,Victoria,Holiday,81
2001 Q1,Bendigo Loddon,Victoria,Holiday,69
2001 Q2,Bendigo Loddon,Victoria,Holiday,112
2001 Q3,Bendigo Loddon,Victoria,Holiday,66
2001 Q4,Bendigo Loddon,Victoria,Holiday,128
2002 Q1,Bendigo Loddon,Victoria,Holiday,71
2002 Q2,Bendigo Loddon,Victoria,Holiday,72
2002 Q3,Bendigo Loddon,Victoria,Holiday,46
2002 Q4,Bendigo Loddon,Victoria,Holiday,50
2003 Q1,Bendigo Loddon,Victoria,Holiday,47
2003 Q2,Bendigo Loddon,Victoria,Holiday,92
2003 Q3,Bendigo Loddon,Victoria,Holiday,56
2003 Q4,Bendigo Loddon,Victoria,Holiday,65
2004 Q1,Bendigo Loddon,Victoria,Holiday,77
2004 Q2,Bendigo Loddon,Victoria,Holiday,80
2004 Q3,Bendigo Loddon,Victoria,Holiday,87
2004 Q4,Bendigo Loddon,Victoria,Holiday,60
2005 Q1,Bendigo Loddon,Victoria,Holiday,62
2005 Q2,Bendigo Loddon,Victoria,Holiday,44
2005 Q3,Bendigo Loddon,Victoria,Holiday,35
2005 Q4,Bendigo Loddon,Victoria,Holiday,56
2006 Q1,Bendigo Loddon,Victoria,Holiday,86
2006 Q2,Bendigo Loddon,Victoria,Holiday,56
2006 Q3,Bendigo Loddon,Victoria,Holiday,79
2006 Q4,Bendigo Loddon,Victoria,Holiday,60
2007 Q1,Bendigo Loddon,Victoria,Holiday,63
2007 Q2,Bendigo Loddon,Victoria,Holiday,73
2007 Q3,Bendigo Loddon,Victoria,Holiday,84
2007 Q4,Bendigo Loddon,Victoria,Holiday,92
2008 Q1,Bendigo Loddon,Victoria,Holiday,70
2008 Q2,Bendigo Loddon,Victoria,Holiday,53
2008 Q3,Bendigo Loddon,Victoria,Holiday,53
2008 Q4,Bendigo Loddon,Victoria,Holiday,54
2009 Q1,Bendigo Loddon,Victoria,Holiday,53
2009 Q2,Bendigo Loddon,Victoria,Holiday,82
2009 Q3,Bendigo Loddon,Victoria,Holiday,80
2009 Q4,Bendigo Loddon,Victoria,Holiday,47
2010 Q1,Bendigo Loddon,Victoria,Holiday,63
2010 Q2,Bendigo Loddon,Victoria,Holiday,59
2010 Q3,Bendigo Loddon,Victoria,Holiday,53
2010 Q4,Bendigo Loddon,Victoria,Holiday,51
2011 Q1,Bendigo Loddon,Victoria,Holiday,73
2011 Q2,Bendigo Loddon,Victoria,Holiday,68
2011 Q3,Bendigo Loddon,Victoria,Holiday,66
2011 Q4,Bendigo Loddon,Victoria,Holiday,67
2012 Q1,Bendigo Loddon,Victoria,Holiday,92
2012 Q2,Bendigo Loddon,Victoria,Holiday,99
2012 Q3,Bendigo Loddon,Victoria,Holiday,60
2012 Q4,Bendigo Loddon,Victoria,Holiday,75
2013 Q1,Bendigo Loddon,Victoria,Holiday,72
2013 Q2,Bendigo Loddon,Victoria,Holiday,95
2013 Q3,Bendigo Loddon,Victoria,Holiday,74
2013 Q4,Bendigo Loddon,Victoria,Holiday,62
2014 Q1,Bendigo Loddon,Victoria,Holiday,73
2014 Q2,Bendigo Loddon,Victoria,Holiday,81
2014 Q3,Bendigo Loddon,Victoria,Holiday,83
2014 Q4,Bendigo Loddon,Victoria,Holiday,81
2015 Q1,Bendigo Loddon,Victoria,Holiday,93
2015 Q2,Bendigo Loddon,Victoria,Holiday,111
2015 Q3,Bendigo Loddon,Victoria,Holiday,65
2015 Q4,Bendigo Loddon,Victoria,Holiday,69
2016 Q1,Bendigo Loddon,Victoria,Holiday,107
2016 Q2,Bendigo Loddon,Victoria,Holiday,115
2016 Q3,Bendigo Loddon,Victoria,Holiday,74
2016 Q4,Bendigo Loddon,Victoria,Holiday,73
2017 Q1,Bendigo Loddon,Victoria,Holiday,123
2017 Q2,Bendigo Loddon,Victoria,Holiday,110
2017 Q3,Bendigo Loddon,Victoria,Holiday,61
2017 Q4,Bendigo Loddon,Victoria,Holiday,85
1998 Q1,Bendigo Loddon,Victoria,Other,5
1998 Q2,Bendigo Loddon,Victoria,Other,13
1998 Q3,Bendigo Loddon,Victoria,Other,2
1998 Q4,Bendigo Loddon,Victoria,Other,3
1999 Q1,Bendigo Loddon,Victoria,Other,0
1999 Q2,Bendigo Loddon,Victoria,Other,3
1999 Q3,Bendigo Loddon,Victoria,Other,4
1999 Q4,Bendigo Loddon,Victoria,Other,16
2000 Q1,Bendigo Loddon,Victoria,Other,11
2000 Q2,Bendigo Loddon,Victoria,Other,0
2000 Q3,Bendigo Loddon,Victoria,Other,6
2000 Q4,Bendigo Loddon,Victoria,Other,5
2001 Q1,Bendigo Loddon,Victoria,Other,21
2001 Q2,Bendigo Loddon,Victoria,Other,4
2001 Q3,Bendigo Loddon,Victoria,Other,0
2001 Q4,Bendigo Loddon,Victoria,Other,9
2002 Q1,Bendigo Loddon,Victoria,Other,5
2002 Q2,Bendigo Loddon,Victoria,Other,9
2002 Q3,Bendigo Loddon,Victoria,Other,6
2002 Q4,Bendigo Loddon,Victoria,Other,8
2003 Q1,Bendigo Loddon,Victoria,Other,3
2003 Q2,Bendigo Loddon,Victoria,Other,5
2003 Q3,Bendigo Loddon,Victoria,Other,8
2003 Q4,Bendigo Loddon,Victoria,Other,14
2004 Q1,Bendigo Loddon,Victoria,Other,1
2004 Q2,Bendigo Loddon,Victoria,Other,5
2004 Q3,Bendigo Loddon,Victoria,Other,6
2004 Q4,Bendigo Loddon,Victoria,Other,19
2005 Q1,Bendigo Loddon,Victoria,Other,15
2005 Q2,Bendigo Loddon,Victoria,Other,8
2005 Q3,Bendigo Loddon,Victoria,Other,8
2005 Q4,Bendigo Loddon,Victoria,Other,8
2006 Q1,Bendigo Loddon,Victoria,Other,9
2006 Q2,Bendigo Loddon,Victoria,Other,11
2006 Q3,Bendigo Loddon,Victoria,Other,1
2006 Q4,Bendigo Loddon,Victoria,Other,14
2007 Q1,Bendigo Loddon,Victoria,Other,9
2007 Q2,Bendigo Loddon,Victoria,Other,1
2007 Q3,Bendigo Loddon,Victoria,Other,5
2007 Q4,Bendigo Loddon,Victoria,Other,0
2008 Q1,Bendigo Loddon,Victoria,Other,9
2008 Q2,Bendigo Loddon,Victoria,Other,2
2008 Q3,Bendigo Loddon,Victoria,Other,2
2008 Q4,Bendigo Loddon,Victoria,Other,2
2009 Q1,Bendigo Loddon,Victoria,Other,0
2009 Q2,Bendigo Loddon,Victoria,Other,19
2009 Q3,Bendigo Loddon,Victoria,Other,2
2009 Q4,Bendigo Loddon,Victoria,Other,4
2010 Q1,Bendigo Loddon,Victoria,Other,0
2010 Q2,Bendigo Loddon,Victoria,Other,7
2010 Q3,Bendigo Loddon,Victoria,Other,8
2010 Q4,Bendigo Loddon,Victoria,Other,0
2011 Q1,Bendigo Loddon,Victoria,Other,5
2011 Q2,Bendigo Loddon,Victoria,Other,27
2011 Q3,Bendigo Loddon,Victoria,Other,14
2011 Q4,Bendigo Loddon,Victoria,Other,3
2012 Q1,Bendigo Loddon,Victoria,Other,38
2012 Q2,Bendigo Loddon,Victoria,Other,3
2012 Q3,Bendigo Loddon,Victoria,Other,6
2012 Q4,Bendigo Loddon,Victoria,Other,4
2013 Q1,Bendigo Loddon,Victoria,Other,11
2013 Q2,Bendigo Loddon,Victoria,Other,13
2013 Q3,Bendigo Loddon,Victoria,Other,12
2013 Q4,Bendigo Loddon,Victoria,Other,8
2014 Q1,Bendigo Loddon,Victoria,Other,4
2014 Q2,Bendigo Loddon,Victoria,Other,14
2014 Q3,Bendigo Loddon,Victoria,Other,22
2014 Q4,Bendigo Loddon,Victoria,Other,7
2015 Q1,Bendigo Loddon,Victoria,Other,8
2015 Q2,Bendigo Loddon,Victoria,Other,12
2015 Q3,Bendigo Loddon,Victoria,Other,9
2015 Q4,Bendigo Loddon,Victoria,Other,24
2016 Q1,Bendigo Loddon,Victoria,Other,3
2016 Q2,Bendigo Loddon,Victoria,Other,9
2016 Q3,Bendigo Loddon,Victoria,Other,10
2016 Q4,Bendigo Loddon,Victoria,Other,30
2017 Q1,Bendigo Loddon,Victoria,Other,25
2017 Q2,Bendigo Loddon,Victoria,Other,9
2017 Q3,Bendigo Loddon,Victoria,Other,11
2017 Q4,Bendigo Loddon,Victoria,Other,27
1998 Q1,Bendigo Loddon,Victoria,Visiting,119
1998 Q2,Bendigo Loddon,Victoria,Visiting,120
1998 Q3,Bendigo Loddon,Victoria,Visiting,68
1998 Q4,Bendigo Loddon,Victoria,Visiting,120
1999 Q1,Bendigo Loddon,Victoria,Visiting,94
1999 Q2,Bendigo Loddon,Victoria,Visiting,81
1999 Q3,Bendigo Loddon,Victoria,Visiting,74
1999 Q4,Bendigo Loddon,Victoria,Visiting,75
2000 Q1,Bendigo Loddon,Victoria,Visiting,190
2000 Q2,Bendigo Loddon,Victoria,Visiting,135
2000 Q3,Bendigo Loddon,Victoria,Visiting,85
2000 Q4,Bendigo Loddon,Victoria,Visiting,93
2001 Q1,Bendigo Loddon,Victoria,Visiting,68
2001 Q2,Bendigo Loddon,Victoria,Visiting,81
2001 Q3,Bendigo Loddon,Victoria,Visiting,108
2001 Q4,Bendigo Loddon,Victoria,Visiting,74
2002 Q1,Bendigo Loddon,Victoria,Visiting,102
2002 Q2,Bendigo Loddon,Victoria,Visiting,96
2002 Q3,Bendigo Loddon,Victoria,Visiting,67
2002 Q4,Bendigo Loddon,Victoria,Visiting,87
2003 Q1,Bendigo Loddon,Victoria,Visiting,140
2003 Q2,Bendigo Loddon,Victoria,Visiting,79
2003 Q3,Bendigo Loddon,Victoria,Visiting,111
2003 Q4,Bendigo Loddon,Victoria,Visiting,135
2004 Q1,Bendigo Loddon,Victoria,Visiting,81
